Trimestre,Precio de la acción al final del periodo,Acciones,Acciones en circulación,Deuda neta MDP,Valor de la empresa,Valor en libros (activos),Activos fijos
1T2018,91.43,"3,578,226,270.00","17,891,131,350.00","86,370.00","1,722,156.14","571,070.00","112,193.00"
2T2018,87.79,"3,578,226,270.00","17,891,131,350.00","100,935.00","1,671,597.42","584,732.00","116,471.00"
3T2018,99.85,"3,578,226,270.00","17,891,131,350.00","97,635.00","1,884,064.47","580,792.00","100,436.00"
4T2018,86.05,"3,578,226,270.00","17,891,131,350.00","89,479.00","1,629,010.85","576,381.00","108,602.00"
1T2019,93.76,"3,578,226,270.00","17,891,131,350.00","96,038.00","1,773,510.48","617,119.00","107,385.00"
2T2019,97.98,"3,578,226,270.00","17,891,131,350.00","96,565.00","1,849,538.05","629,218.00","110,750.00"
3T2019,91.58,"3,578,226,270.00","17,891,131,350.00","96,310.00","1,734,779.81","639,536.00","111,155.00"
4T2019,94.51,"3,578,226,270.00","17,891,131,350.00","95,714.00","1,786,604.82","637,541.00","114,513.00"
1T2020,60.51,"3,578,226,270.00","17,891,131,350.00","163,054.00","1,245,646.36","761,233.00","117,936.00"
2T2020,62.01,"3,578,226,270.00","17,891,131,350.00","174,014.00","1,283,443.06","744,647.00","115,609.00"
3T2020,56.19,"3,578,226,270.00","17,891,131,350.00","188,259.00","1,193,561.67","729,109.00","114,200.00"
4T2020,75.77,"3,578,226,270.00","17,891,131,350.00","174,706.00","1,530,317.02","684,638.00","113,106.00"
1T2021,75.33,"3,578,226,270.00","17,891,131,350.00","177,823.00","1,525,561.92","689,040.00","111,253.00"
2T2021,84.51,"3,578,226,270.00","17,891,131,350.00","176,716.00","1,688,695.51","693,725.00","111,475.00"
3T2021,86.72,"3,578,226,270.00","17,891,131,350.00","179,327.00","1,730,845.91","722,082.00","112,422.00"
4T2021,77.71,"3,578,226,270.00","17,891,131,350.00","179,857.00","1,570,176.82","737,500.00","115,147.00"
1T2022,82.85,"3,578,226,270.00","17,891,131,350.00","174,858.00","1,657,138.23","744,461.00","118,871.00"
2T2022,67.49,"3,578,226,270.00","17,891,131,350.00","158,995.00","1,366,467.45","733,645.00","118,314.00"
3T2022,62.75,"3,578,226,270.00","17,891,131,350.00","153,322.00","1,275,990.49","742,306.00","121,306.00"
4T2022,78.12,"3,578,226,270.00","17,891,131,350.00","170,989.00","1,568,644.18","798,621.00","134,001.00"
1T2023,95.19,"3,578,226,270.00","17,891,131,350.00","138,485.00","1,841,541.79","810,692.00","131,501.00"
2T2023,110.84,"3,578,226,270.00","17,891,131,350.00","130,547.00","2,113,600.00","781,002.00","133,476.00"
3T2023,109.15,"3,578,226,270.00","17,891,131,350.00","132,350.00","2,085,166.99","818,158.00","138,420.00"
4T2023,108.26,"3,578,226,270.00","17,891,131,350.00","125,417.00","2,420,133.51","805,836.00","141,530.00"
1T2024,109.65,"3,578,226,270.00","17,891,131,350.00","126,303.00","2,445,888.18","797,560.00","142,785.00"
2T2024,108.39,"3,578,226,270.00","17,891,131,350.00","131,542.00","2,070,761.73","820,417.00","150,440.00"
3T2024,98.71,"3,578,226,270.00","17,891,131,350.00","137,794.00","1,903,827.58","849,899.00","162,387.00"
4T2024,85.49,"3,578,226,270.00","17,891,131,350.00","139,151.00","1,668,663.82","852,207.00","177,397.00"
1T2025,97.58,"3,578,226,270.00","17,891,131,350.00","131,736.00","1,877,552.60","855,883.00","181,957.00"
2T2025,102.98,"3,578,226,270.00","17,891,131,350.00","136,215.00","1,978,643.71","831,042.00","182,186.00"
3T2025,98.63,"3,578,226,270.00","17,891,131,350.00","130,822.00","1,895,424.29","807,961.00","186,916.00"
4T2025,101.07,"3,578,226,270.00","17,891,131,350.00","124,992.00","1,933,248.65","807,961.00","186,916.00"
